cenario_id,geracao_fv_kw,irradiancia_w_m2,carga_kw,no_rede,fator_potencia,tensao_inicial_pu,tensao_resultado_pu,classificacao_risco,origem_resultado
228,500.0,500.0,1750.0,675,1.0,1.0467656419480598,1.0479452244791871,BAIXO,OPENDSS
229,500.0,500.0,2000.0,675,1.0,1.0448693989505173,1.0461015070768664,BAIXO,OPENDSS
230,500.0,600.0,0.0,675,1.0,1.0426313134570546,1.0441500534311228,BAIXO,OPENDSS
231,500.0,600.0,250.0,675,1.0,1.0481216271804614,1.0496025872678763,BAIXO,OPENDSS
232,500.0,600.0,500.0,675,1.0,1.0465566010760377,1.0480925067232083,BAIXO,OPENDSS
233,500.0,600.0,750.0,675,1.0,1.0452702884617993,1.046812923448919,BAIXO,OPENDSS
234,500.0,600.0,1000.0,675,1.0,1.0439870094004733,1.0455270718003449,BAIXO,OPENDSS
235,500.0,600.0,1250.0,675,1.0,1.0491767244385408,1.0506562776288302,ATENÇÃO,OPENDSS
236,500.0,600.0,1500.0,675,1.0,1.04793400185747,1.0494381084029738,BAIXO,OPENDSS
237,500.0,600.0,1750.0,675,1.0,1.0467656419480598,1.0481750919911128,BAIXO,OPENDSS
238,500.0,600.0,2000.0,675,1.0,1.0448693989505173,1.0463661935195492,BAIXO,OPENDSS
239,500.0,700.0,0.0,675,1.0,1.0426313134570546,1.0444012589944462,BAIXO,OPENDSS
240,500.0,700.0,250.0,675,1.0,1.0481216271804614,1.0498432895931549,BAIXO,OPENDSS
241,500.0,700.0,500.0,675,1.0,1.0465566010760377,1.0483476519052521,BAIXO,OPENDSS
242,500.0,700.0,750.0,675,1.0,1.0452702884617993,1.0470697374482163,BAIXO,OPENDSS
243,500.0,700.0,1000.0,675,1.0,1.0439870094004733,1.0457849640629164,BAIXO,OPENDSS
244,500.0,700.0,1250.0,675,1.0,1.0491767244385408,1.0508951345606985,ATENÇÃO,OPENDSS
245,500.0,700.0,1500.0,675,1.0,1.04793400185747,1.0496892826315949,BAIXO,OPENDSS
246,500.0,700.0,1750.0,675,1.0,1.0467656419480598,1.0484305081795504,BAIXO,OPENDSS
247,500.0,700.0,2000.0,675,1.0,1.0448693989505173,1.0466311361115883,BAIXO,OPENDSS
248,500.0,800.0,0.0,675,1.0,1.0426313134570546,1.0446518690029947,BAIXO,OPENDSS
249,500.0,800.0,250.0,675,1.0,1.0481216271804614,1.0500827725888344,ATENÇÃO,OPENDSS
250,500.0,800.0,500.0,675,1.0,1.0465566010760377,1.048602389315023,BAIXO,OPENDSS
251,500.0,800.0,750.0,675,1.0,1.0452702884617993,1.0473262526692295,BAIXO,OPENDSS
252,500.0,800.0,1000.0,675,1.0,1.0439870094004733,1.0460426769072209,BAIXO,OPENDSS
253,500.0,800.0,1250.0,675,1.0,1.0491767244385408,1.0511340849541349,ATENÇÃO,OPENDSS
254,500.0,800.0,1500.0,675,1.0,1.04793400185747,1.0499404921302684,BAIXO,OPENDSS
255,500.0,800.0,1750.0,675,1.0,1.0467656419480598,1.0486866300916284,BAIXO,OPENDSS
256,500.0,800.0,2000.0,675,1.0,1.0448693989505173,1.0468963078208882,BAIXO,OPENDSS
257,500.0,900.0,0.0,675,1.0,1.0426313134570546,1.0449018648936717,BAIXO,OPENDSS
258,500.0,900.0,250.0,675,1.0,1.0481216271804614,1.0503204645285624,ATENÇÃO,OPENDSS
259,500.0,900.0,500.0,675,1.0,1.0465566010760377,1.0488566927328131,BAIXO,OPENDSS
260,500.0,900.0,750.0,675,1.0,1.0452702884617993,1.0475824463728944,BAIXO,OPENDSS
261,500.0,900.0,1000.0,675,1.0,1.0439870094004733,1.0463001867229451,BAIXO,OPENDSS
262,500.0,900.0,1250.0,675,1.0,1.0491767244385408,1.0513731040313872,ATENÇÃO,OPENDSS
263,500.0,900.0,1500.0,675,1.0,1.04793400185747,1.050178843482252,ATENÇÃO,OPENDSS
264,500.0,900.0,1750.0,675,1.0,1.0467656419480598,1.048942840509485,BAIXO,OPENDSS
265,500.0,900.0,2000.0,675,1.0,1.0448693989505173,1.0471616799305328,BAIXO,OPENDSS
266,500.0,1000.0,0.0,675,1.0,1.0426313134570546,1.045151230331635,BAIXO,OPENDSS
267,500.0,1000.0,250.0,675,1.0,1.0481216271804614,1.0505577760419105,ATENÇÃO,OPENDSS
268,500.0,1000.0,500.0,675,1.0,1.0465566010760377,1.0491105247110988,BAIXO,OPENDSS
269,500.0,1000.0,750.0,675,1.0,1.0452702884617993,1.047838298438041,BAIXO,OPENDSS
270,500.0,1000.0,1000.0,675,1.0,1.0439870094004733,1.046557470273478,BAIXO,OPENDSS
